State,Year,Quarter,Colonies at BQ,Max Colonies,Lost Colonies,Percent Lost,Added Colonies,Renovated Colonies,Percent Renovated,Varroa Mites,Others pests/parasites,Disease,Pesticides,Other,Unknown
Alabama,2015,1,7000,7000,1800,0.26,2800,250,0.04,0.1,0.054,0.005,0.022,0.091,0.094
Alabama,2016,1,7500,7500,1700,0.23,2100,90,0.01,0.242,0.22,0.043,0.081,0.024,0.113
Alabama,2017,1,7000,7000,1600,0.23,570,740,0.11,0.199,0.098,0.002,0.032,0.067,0.093
Alabama,2018,1,7500,7500,820,0.11,1200,1500,0.2,0.292,0.302,0.019,0.149,0.086,0.045
Alabama,2019,1,5500,5500,650,0.12,800,200,0.04,0.272,0.227,0.018,0.003,0.031,0.09
Alabama,2020,1,5500,7000,410,0.06,1900,780,0.11,0.124,0.034,0,0.001,0.017,0.043
Alabama,2021,1,10000,10000,1100,0.11,670,200,0.02,0.522,0.303,0,0.005,0.031,0.04
Alabama,2022,1,7500,11500,1100,0.1,1600,520,0.05,0.369,0.17,0,0.037,0.108,0.053
Alabama,2023,1,11000,15500,1400,0.09,2000,880,0.06,0.319,0.183,0.007,0.015,0.099,0.083
Alabama,2024,1,9500,11500,1600,0.14,2400,860,0.07,0.24,0.188,0.063,0.019,0.029,0.045
Arizona,2015,1,35000,35000,4600,0.13,3400,2100,0.06,0.269,0.205,0.001,0.005,0.018,0.031
Arizona,2016,1,30000,30000,4700,0.16,3500,150,0.01,0.338,0.028,0,0.077,0.065,0.072
Arizona,2017,1,31000,32000,6000,0.19,2900,0,0,0.356,0.02,0.038,0.017,0.065,0.021
Arizona,2018,1,25000,26000,6000,0.23,810,230,0.01,0.363,0.043,0.046,0.153,0.079,0.042
Arizona,2019,1,22000,22000,2500,0.11,430,90,0.005,0.258,0.079,0.065,0.162,0.084,0.002
Arizona,2020,1,29000,31000,8500,0.27,3000,120,0.005,0.317,0.005,0.005,0,0.101,0.09
Arizona,2021,1,28000,28000,6500,0.23,4500,4500,0.16,0.067,0.061,0.06,0,0.005,0.038
Arizona,2022,1,25000,32000,2300,0.07,720,10,0.005,0.148,0,0.03,0.005,0.005,0.005
Arizona,2023,1,34000,34000,510,0.02,290,80,0.005,0.729,0,0,0.005,0.005,0.005
Arizona,2024,1,26000,29000,1900,0.07,3300,670,0.02,0.155,0.005,0.014,0.006,0.005,0.024
Arkansas,2015,1,13000,14000,1500,0.11,1200,90,0.01,0.176,0.114,0.015,0.034,0.01,0.01
Arkansas,2016,1,27000,27000,5000,0.19,5000,1100,0.04,0.574,0.069,0.005,0.005,0.019,0.081
Arkansas,2017,1,18000,20000,3500,0.18,430,230,0.01,0.315,0.146,0.001,0.005,0.03,0.01
Arkansas,2018,1,22000,22000,7500,0.34,540,810,0.04,0.211,0.096,0.01,0.23,0.046,0.139
Arkansas,2019,1,28000,28000,6500,0.23,20,20,0.005,0.195,0.015,0.033,0.553,0.007,0.029
Arkansas,2020,1,16500,16500,1600,0.1,1800,30,0.005,0.317,0.227,0.005,0.026,0.005,0.112
Arkansas,2021,1,21000,21000,4900,0.23,690,130,0.01,0.272,0.183,0.005,0.132,0.038,0.025
Arkansas,2022,1,18500,21000,2600,0.12,780,20,0.005,0.398,0.281,0.005,0.231,0.013,0.089
Arkansas,2023,1,21000,23000,2200,0.1,1200,10,0.005,0.622,0.514,0.053,0.247,0.02,0.059
Arkansas,2024,1,16000,21000,1700,0.08,260,120,0.01,0.32,0.142,0.009,0.02,0.034,0.043
California,2015,1,1440000,1690000,255000,0.15,250000,124000,0.07,0.247,0.072,0.03,0.075,0.065,0.028
California,2016,1,1130000,1410000,200000,0.14,210000,139000,0.1,0.381,0.152,0.09,0.135,0.084,0.044
